"Name","Symbol","Last","Chg. %","Market Cap","Vol."
"China Shenhua Energy H","1088","14.98","-1.58%","297.63B","27.63M"
"China Resources Land","1109","31.30","-0.48%","223.55B","10.75M"
"Anhui Conch Cement","0914","40.60","-1.46%","214.62B","3.58M"
"China Overseas","0688","17.70","0.34%","194.60B","11.54M"
"Hopson Development","0754","35.40","-0.56%","77.23B","541.39K"
"Logan Property Co","3380","10.88","-1.45%","59.85B","1.92M"
"Shenzhen Investment","0604","2.38","-0.42%","21.00B","3.36M"
"COSCO Pacific","1199","6.23","2.81%","20.36B","2.71M"
"Gemdale Properties & Investment","0535","1.00","1.01%","16.58B","1.52M"
"Allied Properties HK","0056","1.91","0.00%","13.01B","0.00"
"K Wah Int","0173","3.76","-0.27%","11.73B","1.12M"
"Allied","0373","3.15","0.00%","11.07B","0.00"
"LVGEM China Real Estate","0095","1.99","-1.97%","10.09B","2.41M"
"Sun Hung Kai & Co","0086","4.20","0.72%","8.33B","59.00K"
"Sinopec Kantons","0934","2.89","-0.69%","7.23B","1.22M"
"Joy City Property Ltd","0207","0.47","2.20%","6.62B","868.00K"
"BOCOM International","3329","1.90","1.60%","5.17B","1.00M"
"China VAST Industrial Urban Develop","6166","3.03","1.00%","5.00B","1.98M"
"Kinetic Mines and Energy","1277","0.59","1.72%","4.97B","302.00K"
"Consun Pharma","1681","5.01","-1.18%","4.14B","953.00K"
"Bright Smart Securities & Commodities","1428","2.00","-0.50%","3.39B","6.83M"
"China Strategic","0235","0.11","-1.75%","2.28B","18.07M"
"Aeon Credit Service Asia","0900","5.03","-1.37%","2.11B","26.00K"
"Guangdong Land","0124","1.04","0.97%","1.76B","6.00K"
"Asia Standard Intl","0129","1.28","-1.54%","1.69B","52.00K"
"Lansen Pharmaceutical Holdings","0503","2.52","-0.40%","1000.00M","615.00K"
"Jilin Province Huinan Changlong","8049","1.23","0.00%","689.11M","0.00"
"Clifford Modern Living","3686","0.56","0.00%","568.82M","210.00K"
"Oi Wah Pawnshop Credit","1319","0.29","0.00%","560.43M","0.00"
"Asia Standard Hotel","0292","0.25","0.00%","504.51M","0.00"
"Cinda Intl","0111","0.45","-3.23%","288.54M","224.00K"
"Global Intl Credit","1669","0.65","0.00%","260.00M","0.00"
"Ocean Line Port","8502","0.26","0.00%","208.00M","0.00"
"Hong Kong Finance","1273","0.49","0.00%","203.35M","8.00K"
"G-Resources Group","1051","0.05","0.00%","24.34M","0.00"
